wallet_address,winner
0x58415cc885717052276dbaa4567584d73d6d3bac,TRUE
0xfed93f0ad93ff25993274d8245a2bb2133de38c0,TRUE
0x04ac4c2c7ba5915e13a6126abfefb1b32200ad4e,TRUE
0xe2d70f3254fc0f2f72e933191737d15c4907d6a2,TRUE
0xfa09b962e819bca435a62d6b3ca8edc41682c999,TRUE
0x8d90cff4ba575266c82ed4b9bc1b5948c12023bc,TRUE
0x19e900f9ee644b19c566cf4351d15e763768140e,TRUE
0x36e0c6603065b974f2d205ffe6630d2c7c51d23a,TRUE
0x7b59793ad075e4ce1e35181054759c080b8d965d,TRUE
0xa3c277b8f35881cbdb017e52bcc376b3ce8f21da,TRUE
0xdf14abc878c3f99d1e5811fbbc29aeea136b1012,TRUE
0x87f7c24b65f4fa5465a086df6e6d4f5ca6ff6593,TRUE
0x627d5ed9d7b2ec21a785ab4c560492b3eb65fb3f,TRUE
0xa69faf21bb8e01a22e1c7a894d19ff72a74eec84,TRUE
0x4c51f2fcfdff11178a35613b1441e940e22460b3,TRUE
0xc55c754b9f11198bfcb5b6f1315d47daada0c4ab,TRUE
0xdf788eb75553b29cab1a318dee77bf59567c2009,TRUE
0x1a9a4932f36b3641f5f63e98f77f8a1f28d85dad,TRUE
0x162f3a373a8605fd0da52b1b6d44dc8bcc97f0aa,TRUE
0x36eebc48da111b14b010a97abecf8bb68d10095c,TRUE
0x02e4f367fc7cb77d9b6818440648fc4dd5d21891,TRUE
0x16a7cf1b739fc45d7ceac90ad6a7582126db4b00,TRUE
0x9a521c898cf8f9924c407ab8817d2330ed71c908,TRUE
0xd997c09237e9a2f894b74c46f1080b7b4d8ee6b7,TRUE
0xda517398768f31c465b76900b737dc3c80a8840c,TRUE
0x16278ae3bb0eeb3d04093a16c1290ea8e2d9e879,TRUE
0x18b10c45d7812d68b4568c9f278228deafbc367f,TRUE
0xff209651029de229108553c3fd3115b570327de6,TRUE
0x91f3acf393de794e7291fbf36dfc408da617cff0,TRUE
0xf59b2794936d61009a9657f226a9d6541ba2d671,TRUE
0x2d63abce30f048c6fcae5008e614f6c6510954c1,TRUE
0x1986f4bcc6b78d40e499e928a910dd7bde857734,TRUE
0xcecfb5155a25fdb3aee8e6fca461a9f590973e87,TRUE
0x6d83fc47051632eabc2cea199ca840e47b1b06e2,TRUE
0x85cd60df7dbdb162a253d0855aaa366c65d278a7,TRUE
0xfe7f14703d91a73643327c0f6349d81c2b59c359,TRUE
0xfa7254a300e1d33779d8107a5d4074b568b9fb9c,TRUE
0x0597ec8f1dd27c60dbf98a23dbd1fa2059abd3b0,TRUE
0xf47828408d028bdb484bc05a1f517fe3e004a27a,TRUE
0x026e1ef925b894386ec17a65fb7ea08edc2c4b7c,TRUE
0xbfe92b6f720d3ffc146478fdd763197bbe98924b,TRUE
0xd5f9cb4c7c6d4fae16975c9a3baf19c838d95366,TRUE
0x321446a5aeccc63b4cfb73276cc6cc945823271a,TRUE
0x07885d4427d6f4c1e9392e7ee02440e533aa4e20,TRUE
0x6c5400ca7ad13bee0ec044ed6a233bf19a1351da,TRUE
0x2ad3d1c3a10101b2cfb2ade0999a8e1c41656f07,TRUE
0x46bae1972c869527c8b8fa5b92fb747d7d51fd42,TRUE
0x7e5124202b1a177cbc254b2c2262541682f20601,TRUE
0x78ac447de0915da66a81eb6dbeebfe1e3e031b39,TRUE
0x12a650074a084f450fe41f90199f0a4dd21c1ddc,TRUE
0x493824a4db3f77da3f41836ee49eb6d38add82d2,TRUE
0xffaec35f84921f7290d35f773c66c5149a9cb2e2,TRUE
0xc6d44a152b886512575472c96abc2f39876a3885,TRUE
0xd0aa804dde4315da2ed244ea5fb3e1767d5008bc,TRUE
0xb76e4a9932538bbad705d2936d0db755389cacff,TRUE
0x96dc89dbe84970ee42a2f0b35fb50599e6745ff8,TRUE
0x44dc2ec15b3483fc8590f6b396cea5f8f2fbf3bd,TRUE
0x8d0084c1452e8c66d0b49836e24422f370432adb,TRUE
0xd46d62d222bc3350e51853409f2c029fda8b1477,TRUE
0x7ce25541c54dc7a7701d399579076ee50fd2a44b,TRUE
0x9840E94559476000a4c3ebA49849D1ced96E9Be3,TRUE
0x0372eb65f115f4b79cfcc7f9dc796e4f161cd7f9,TRUE
0x828b3dccbc9f868dd52dee247cacfdf66d849bbb,TRUE
0x90b56d0e27e74c3c5e66ebfcaf12dc5ecf0665dd,TRUE
0x1fa69c6e280e5666f76c01f1252c91733743407f,TRUE
0xc4e9c6d0995ee1ce31ec1690e78cbea317a79d52,TRUE
0xb4a3c618b6b9033e92d1403ba85fff8069a1cef0,TRUE
0x3febb7a93aa9865c7bc1ae14dcc94ff0a7132d46,TRUE
0xd42787bf70ca6c46bad3cc8edf7de2e2524e6628,TRUE
0xc0e89289d179151768748297395294fbf3cb8d0a,TRUE
0xa943681cf687774c2d44aab6aeb7d8c701fb7cbb,TRUE
0x59e147ec5bb417745356a1e2d9433f3a07d74419,TRUE
0xfa8568cca1ce6af4a3479b1707091a92ccef62db,TRUE
0xbd8a92e249090249c5fb2ff71e47b69fb650d3af,TRUE
0x04c491b935464926b33ccb3c9b598ef1ce95265d,TRUE
0x1bf54fb23138c9f11d8c6b0821663ac591294e4f,TRUE
0xad8e471fbaf1c3c285c4b0dcf922892af96404ee,TRUE
0x695f89e00288f6c8280f21a63b89b27b53a68f8a,TRUE
0x57eed066424c7d0b00f512d210fef4e432e7217c,TRUE
0x1af9b5be31922b3a23862ae32d8d8a26eea5da8e,TRUE
0x076d40d4453a72a3dec44970b1529baee379dd0b,TRUE
0x29754d7a9f9f344327158e2d01508efa415bd558,TRUE
0xf9107317b0ff77ed5b7adea15e50514a3564002b,TRUE
0xd63f51122663aba57079af86a67f70c0ee8cc401,TRUE
0xda015d5e01d8a12263a5ebb7ebc34c1d11286d42,TRUE
0x4d95b1ea2a8a021fe98b5d60e5f835aa7ba3362b,TRUE
0x01c7b3b2be439441e3cc8644b64b664d5e4e997f,TRUE
0xe9ed9c5a638d71b7cfd4677d9a09f94e5733ac14,TRUE
0x3a4ddccb9a7037cb6bea4ed31ffdbe7179eab42e,TRUE
0x8e9915a968f983fb4df50306c7cb22edce0ea2d7,TRUE
0xc4dad120712a92117cc65d46514be8b49ed846a1,TRUE
0x0d6cfc385463ff9e6ab20a4a4f71f111b53a0942,TRUE
0xa205921cb6ffffe2c567804292406200bd0672b0,TRUE
0xc95dacc7a2982231ffafde310b136b2e7187fab6,TRUE
0x74379944825dbf2a44c1d9168f66c4da0fadba15,TRUE
0x67ee7cd48823b69734deea75197a3652efeb10e0,TRUE
0xe8d0587d82ae54b0dd1f8e234ba3f0ce1e2f047a,TRUE
0xa37bbccd480c7758b0df9d4d81797e75e63c6b13,TRUE
0xc95dacc7a2982231ffafde310b136b2e7187fab6,TRUE
0x53fda6d3ffabc8388b4c24e980f83fcdb1496e51,TRUE